Building,Address,Lat,Long
LILY,915 W. State Street,40.42366383320516,40.42366383320516
HAMP,550 Stadium Mall Drive,40.43039677265733,40.43039677265733
RHPH,575 Stadium Mall Drive,40.429988082756594,40.429988082756594
ABE,225 S University Street,40.42184583828238,40.42184583828238
BCHM,175 S University Street,40.42293206462245,40.42293206462245
LAMB,800 W Stadium Avenue,40.43252457393696,40.43252457393696
ARMS,701 W Stadium Avenue,40.43124917866835,40.43124917866835
BHEE,465 Northwestern Avenue,40.42881438493335,40.42881438493335
PRCE,701 3rd Street,40.42686849298509,40.42686849298509
UNIV,672 Oval Drive,40.425416526243914,40.425416526243914
SMTH,901 Mitch Daniels Blvd,40.424246447220284,40.424246447220284
AR,812 3rd Street,40.42816175150221,40.42816175150221
STON,700 Mitch Daniels Blvd,40.42481089743263,40.42481089743263
BRWN,425 Central Drive,40.42674078864351,40.42674078864351
GRIS,315 N Grant Street,40.426577157852996,40.426577157852996
FRNY,480 Stadium Mall Drive,40.429639016516774,40.429639016516774
LWSN,305 N University Street,40.42786831912528,40.42786831912528
PAO,552 W Wood Street,40.42272003584111,40.42272003584111
KNOY,401 N Grant Street,40.427959753022684,40.427959753022684
HEAV,500 Oval Drive,40.42613529357269,40.42613529357269
WTHR,560 Oval Drive,40.42666922643026,40.42666922643026
MSEE,501 Northwestern Avenue,40.42963835020889,40.42963835020889
PSYC,703 3rd Street,40.42725079173155,40.42725079173155
SC,640 Oval Drive,40.42660162500029,40.42660162500029
RAWL,100 S Grant Street,40.42306706723002,40.42306706723002
NISW,1401 Aviation Drive,40.41643357961426,40.41643357961426
PHYS,525 Northwestern Avenue,40.43040058114167,40.43040058114167
MJIS,206 S Martin Jischke Drive,40.422385636774855,40.422385636774855
SCHM,656 Oval Drive,40.42593569040329,40.42593569040329
CL50,648 Oval Drive,40.42652015800536,40.42652015800536
KRAN,403 Mitch Daniels Blvd,40.42421173418906,40.42421173418906
MATH,150 N University Street,40.42639382387042,40.42639382387042
BRNG,100 N University Street,40.42580336379179,40.42580336379179
VPTH,725 Harrison Street,40.42019010692528,40.42019010692528
LYLE,715 Clinic Drive,40.42131864689925,40.42131864689925
ME,585 Purdue Mall,40.4283678200671,40.4283678200671
WALC,340 Centennial Mall Drive,40.427591856422055,40.427591856422055
CRTN,270 S Russell Street,40.42137960743191,40.42137960743191
FORS,195 Marsteller Street,40.42297689981937,40.42297689981937
HAAS,250 N University Street,40.42699208958057,40.42699208958057
HIKS,Mitch Daniels Blvd,40.42707662453534,40.42707662453534
HORT,Horticulture Drive,40.421906281485846,40.421906281485846
LYNN,625 Harrison Street,40.419604800072364,40.419604800072364
MTHW,812 Mitch Daniels Blvd,40.42470559309234,40.42470559309234
NLSN,745 Agriculture Mall Drive,40.421800345203074,40.421800345203074
STEW,128 Memorial Mall,40.42519866153575,40.42519866153575
UC,320 North Street,40.426293225358485,40.426293225358485
